TransactionID,ProductCD,card1,card2,card3,card4,card5,card6,addr1,addr2,TransactionDT,TransactionAmt,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,isFraud
1,C,5812,408.0,185.0,mastercard,224.0,debit,NotFound,NotFound,11844610,22.14,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0
2,W,12577,268.0,150.0,visa,166.0,debit,123.0,87.0,12274010,107.94,141.0,124.0,0.0,0.0,123.0,94.0,0.0,0.0,85.0,0.0,104.0,0.0,457.0,120.0,0
3,H,12581,453.0,150.0,visa,226.0,debit,272.0,87.0,1343827,75.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
4,W,8139,327.0,150.0,discover,194.0,credit,204.0,87.0,15034938,92.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0,18.0,6.0,0
5,W,16132,111.0,150.0,visa,226.0,debit,220.0,87.0,14680707,39.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,1.0,0
6,W,17399,111.0,150.0,mastercard,224.0,debit,204.0,87.0,4488653,57.94,7.0,6.0,0.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,4.0,0.0,10.0,7.0,0
7,W,17399,111.0,150.0,mastercard,224.0,debit,204.0,87.0,13884398,82.94,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,35.0,1.0,0
8,W,5606,318.0,150.0,visa,166.0,debit,205.0,87.0,11827034,36.94,1.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,1.0,0
9,W,10057,225.0,150.0,mastercard,224.0,debit,441.0,87.0,14314893,275.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,8.0,2.0,0
10,W,4472,360.0,150.0,visa,166.0,debit,315.0,87.0,8018605,37.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
11,W,17400,174.0,150.0,visa,226.0,debit,123.0,87.0,8644685,39.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,7.0,1.0,0
12,W,4272,111.0,150.0,visa,226.0,debit,337.0,87.0,10629529,59.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0
13,C,4461,375.0,185.0,mastercard,224.0,debit,NotFound,NotFound,6746178,23.08,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0
14,R,14065,298.0,150.0,visa,195.0,debit,441.0,87.0,14909331,100.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
15,C,9633,130.0,185.0,visa,138.0,debit,NotFound,NotFound,10791326,32.94,2.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,0
16,H,16326,321.0,150.0,visa,226.0,credit,272.0,87.0,1029488,50.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
17,R,3682,264.0,150.0,visa,162.0,credit,343.0,87.0,12696570,200.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0
18,W,10179,555.0,150.0,visa,226.0,debit,272.0,87.0,1383450,57.94,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
19,W,4313,555.0,150.0,mastercard,102.0,credit,492.0,87.0,13809515,226.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
20,W,7508,321.0,150.0,visa,226.0,debit,310.0,87.0,6712362,117.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0
21,W,12469,360.0,150.0,mastercard,166.0,debit,315.0,87.0,1456566,30.95,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,25.0,2.0,0
22,R,17966,356.0,150.0,mastercard,224.0,debit,472.0,87.0,8779391,250.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
23,C,1976,545.0,185.0,visa,102.0,credit,NotFound,NotFound,11051857,16.84,2.0,9.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,6.0,2.0,2.0,6.0,2.0,0
24,W,16163,551.0,150.0,visa,226.0,debit,325.0,87.0,7492767,77.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,2.0,0
25,R,18220,399.0,150.0,american express,213.0,credit,272.0,87.0,11473421,100.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
26,C,5812,408.0,185.0,mastercard,224.0,debit,NotFound,NotFound,13106846,94.2,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0
27,W,1564,275.0,150.0,mastercard,163.0,debit,264.0,87.0,10645565,57.94,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0
28,H,3277,111.0,150.0,visa,226.0,debit,299.0,87.0,9566821,25.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,2.0,0
29,W,10616,583.0,150.0,visa,226.0,credit,299.0,87.0,4656493,114.94,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0
30,W,14634,365.0,150.0,visa,226.0,debit,205.0,87.0,15372846,49.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0
31,W,12501,490.0,150.0,visa,226.0,debit,181.0,87.0,4239936,280.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,5.0,1.0,0
32,C,5812,408.0,185.0,mastercard,224.0,debit,NotFound,NotFound,2397960,35.84,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0
33,W,12581,453.0,150.0,visa,226.0,debit,325.0,87.0,3424925,226.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,1.0,0
34,R,15066,170.0,150.0,mastercard,102.0,credit,299.0,87.0,15522729,100.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
35,C,4301,273.0,185.0,mastercard,102.0,credit,NotFound,NotFound,10081013,65.4,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0
36,W,9500,321.0,150.0,visa,226.0,debit,433.0,87.0,11837065,30.95,9.0,10.0,0.0,0.0,6.0,9.0,0.0,0.0,8.0,0.0,8.0,0.0,105.0,8.0,0
37,W,5554,229.0,150.0,visa,226.0,credit,315.0,87.0,8445114,47.94,3.0,4.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0,0.0,6.0,3.0,0
38,C,16136,204.0,185.0,visa,138.0,debit,NotFound,NotFound,14090929,19.06,4.0,6.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1
39,W,3368,572.0,150.0,mastercard,224.0,debit,251.0,87.0,11913399,54.5,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,2.0,0
40,W,18036,486.0,143.0,mastercard,224.0,debit,205.0,87.0,6463211,54.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0
41,W,4090,490.0,150.0,visa,226.0,debit,310.0,87.0,10897706,57.94,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
42,W,7585,553.0,150.0,visa,226.0,credit,325.0,87.0,11903101,151.0,5.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0,4.0,4.0,0
43,W,7919,194.0,150.0,mastercard,166.0,debit,325.0,87.0,13174656,141.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0
44,W,12037,595.0,150.0,mastercard,224.0,debit,325.0,87.0,10517601,59.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,0
45,W,16079,555.0,150.0,visa,226.0,debit,299.0,87.0,11761255,366.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0
46,W,16132,111.0,150.0,visa,226.0,debit,299.0,87.0,11818493,25.95,8.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,2.0,0.0,17.0,7.0,0
47,W,7757,514.0,150.0,mastercard,224.0,credit,325.0,87.0,6890564,77.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,44.0,1.0,0
48,R,18132,567.0,150.0,mastercard,117.0,debit,204.0,87.0,5250289,100.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
49,W,10616,583.0,150.0,visa,226.0,credit,157.0,87.0,3883157,200.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,14.0,2.0,0
50,W,12695,490.0,150.0,visa,226.0,debit,325.0,87.0,4465827,27.97,6.0,7.0,0.0,0.0,3.0,3.0,0.0,0.0,6.0,0.0,2.0,0.0,26.0,4.0,0
